index,type,from,to,dataset,year,change,reversions,reversion_count,reverts_a_previous_change,reverts_a_later_change,complete_reversions,complete_reversions_summary,complete_reversion_count,completely_reverts_a_previous_change,completely_reverts_a_later_change
310,split,Troglodytes aedon,"Troglodytes cobbi, Troglodytes aedon",aou_7_54 (2013),2013,"Troglodytes aedon -> Troglodytes cobbi + Troglodytes aedon [split, aou_7_54 (2013)]",,0,no,no,,,0,no,no
311,split,Thalassarche cauta,"Thalassarche eremita, Thalassarche cauta, Thalassarche salvini",aou_7_55 (2014),2014,"Thalassarche cauta -> Thalassarche eremita + Thalassarche cauta + Thalassarche salvini [split, aou_7_55 (2014)]",,0,no,no,,,0,no,no
312,split,Rallus elegans,"Rallus elegans, Rallus tenuirostris",aou_7_55 (2014),2014,"Rallus elegans -> Rallus elegans + Rallus tenuirostris [split, aou_7_55 (2014)]",,0,no,no,,,0,no,no
313,split,Phylloscopus borealis,"Phylloscopus borealis, Phylloscopus xanthodryas, Phylloscopus examinandus",aou_7_55 (2014),2014,"Phylloscopus borealis -> Phylloscopus borealis + Phylloscopus xanthodryas + Phylloscopus examinandus [split, aou_7_55 (2014)]",,0,no,no,,,0,no,no
314,split,Junco hyemalis,"Junco insularis, Junco hyemalis",aou_7_55 (2014),2014,"Junco hyemalis -> Junco insularis + Junco hyemalis [split, aou_7_55 (2014)]","Junco oreganus + Junco insularis + Junco hyemalis + Junco aikeni -> Junco hyemalis [lump, aou_5_32 (1973)]",1,yes,no,,,0,no,no
315,split,Rallus longirostris,"Rallus obsoletus, Rallus longirostris, Rallus crepitans",aou_7_55 (2014),2014,"Rallus longirostris -> Rallus obsoletus + Rallus longirostris + Rallus crepitans [split, aou_7_55 (2014)]","Rallus longirostris + Rallus crepitans -> Rallus longirostris [lump, aou_4 (1931)]; Rallus obsoletus + Rallus longirostris -> Rallus longirostris [lump, aou_4_19 (1944)]",2,yes,no,,,0,no,no
316,split,Ninox scutulata,"Ninox japonica, Ninox scutulata",aou_7_55 (2014),2014,"Ninox scutulata -> Ninox japonica + Ninox scutulata [split, aou_7_55 (2014)]",,0,no,no,,,0,no,no
317,split,Gymnopithys leucaspis,"Gymnopithys bicolor, Gymnopithys leucaspis",aou_7_55 (2014),2014,"Gymnopithys leucaspis -> Gymnopithys bicolor + Gymnopithys leucaspis [split, aou_7_55 (2014)]",,0,no,no,,,0,no,no
318,split,Sporophila americana,"Sporophila corvina, Sporophila americana",aou_7_55 (2014),2014,"Sporophila americana -> Sporophila corvina + Sporophila americana [split, aou_7_55 (2014)]",,0,no,no,,,0,no,no
319,split,Pyrrhura picta,"Pyrrhura lucianii, Pyrrhura picta, Pyrrhura roseifrons, Pyrrhura amazonum",aou_7_55 (2014),2014,"Pyrrhura picta -> Pyrrhura lucianii + Pyrrhura picta + Pyrrhura roseifrons + Pyrrhura amazonum [split, aou_7_55 (2014)]",,0,no,no,,,0,no,no
