name,cluster,cluster_count,datasets,dates,recognized_in_first_dataset,recognized_in_last_dataset
Pagophila eburnea,"Gavia alba, Pagophila alba, Pagophila eburnea",3,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1944; February 1982; 2017,yes,yes
Empidonax insulicola,Empidonax insulicola,1,Dataset aou_2_10 (1901); Dataset aou_2_14 (1908),1901; 1908,no,no
Lonchura malacca,Lonchura malacca,1,Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_42 (2000); Checklist NACC_list_species_aou_7_57.csv (2017),January 1982; February 1982; 2000; 2017,no,yes
Dromococcyx phasianellus,Dromococcyx phasianellus,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Doricha eliza,Doricha eliza,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Melanitta fusca,"Oidemia fusca, Melanitta fusca",2,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_4_24 (1949); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1944; 1949; January 1982; February 1982; 2017,yes,yes
Xiphorhynchus lachrymosus,Xiphorhynchus lachrymosus,1,Dataset aou_6 (1983); Dataset aou_7_47 (2006); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2006; 2017,no,yes
Clangula hyemalis,"Clangula hyemalis, Harelda hyemalis",2,Checklist aou_1.csv (1886); Dataset aou_2_08 (1897); Dataset aou_3_17 (1920); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_7_42 (2000); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1897; 1920; 1957; February 1982; 2000; 2017,yes,yes
Phaethornis superciliosus,Phaethornis superciliosus,1,Dataset aou_6 (1983); Dataset aou_7_43 (2002),1983; 2002,no,no
Tolmomyias sulphurescens,Tolmomyias sulphurescens,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Haliaeetus leucocephalus,Haliaeetus leucocephalus,1,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_3_18 (1923); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1923; February 1982; 2017,yes,yes
Tympanuchus phasianellus,"Pediocaetes phasianellus columbianus, Pedioecetes phasianellus, Pediocaetes phasianellus campestris, Tympanuchus phasianellus, Pediocaetes phasianellus",5,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; January 1982; February 1982; 2017,yes,yes
Spizaetus melanoleucus,"Spizaetus melanoleucus, Spizastur melanoleucus",2,Dataset aou_6 (1983); Dataset aou_7_48 (2007); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2007; 2017,no,yes
Spinus pinus,"Spinus pinus, Carduelis pinus",2,Checklist aou_1.csv (1886); Dataset aou_5_33 (1976); Checklist aou_5_34.csv (February 1982); Dataset aou_7_50 (2009); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1976; February 1982; 2009; 2017,yes,yes
Xenospiza baileyi,Xenospiza baileyi,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Dendrortyx leucophrys,Dendrortyx leucophrys,1,Dataset aou_6 (1983); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 1997; 2017,no,yes
Larus michahellis,Larus michahellis,1,Dataset aou_7_48 (2007); Checklist NACC_list_species_aou_7_57.csv (2017),2007; 2017,no,yes
Ixoreus naevius,"Hesperocichla naevia, Ixoreus naevius",2,Checklist aou_1.csv (1886); Dataset aou_2_11 (1902); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1902; January 1982; February 1982; 1983; 2017,yes,yes
