name,cluster,cluster_count,datasets,dates,recognized_in_first_dataset,recognized_in_last_dataset,suspicious,"Note that every ""fixed"" here means that the cluster was broken. No other taxonomic changes were entered."
Patagioenas squamosa,"Patagioenas squamosa, Columba squamosa",2,Dataset aou_2_10 (1901); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_7_44 (2003); Checklist NACC_list_species_aou_7_57.csv (2017),1901; 1957; February 1982; 2003; 2017,no,yes,no,
Pelagodroma marina,Pelagodroma marina,1,Checklist aou_1.csv (1886); Dataset aou_3_18 (1923); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1923; January 1982; February 1982; 2017,yes,yes,no,
Pelecanus californicus,Pelecanus californicus,1,Checklist aou_1.csv (1886); Dataset aou_4 (1931),1886; 1931,yes,no,no,
Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,1,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; January 1982; February 1982; 2017,yes,yes,no,
Pelecanus occidentalis,"Pelecanus occidentalis, Pelecanus fuscus",2,Checklist aou_1.csv (1886); Dataset aou_2_10 (1901); Dataset aou_4 (1931); Checklist aou_5_34.csv (February 1982); Dataset aou_7_49 (2008); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1901; 1931; February 1982; 2008; 2017,yes,yes,yes,Avibase: rename
Pelecanus thagus,Pelecanus thagus,1,Dataset aou_7_49 (2008),2008,no,yes,no,
Perdix perdix,Perdix perdix,1,Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1944; 1957; February 1982; 2017,no,yes,no,
Perisoreus canadensis,"Perisoreus canadensis capitalis, Perisoreus canadensis, Perisoreus canadensis fumifrons, Perisoreus canadensis nigricapillus",4,Checklist aou_1.csv (1886); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1944; 1957; February 1982; 2017,yes,yes,no,
Perisoreus obscurus,Perisoreus obscurus,1,Checklist aou_1.csv (1886); Dataset aou_4_19 (1944),1886; 1944,yes,no,no,
Petrochelidon fulva,"Petrochelidon fulva, Hirundo fulva",2,Dataset aou_1_03 (1891); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Dataset aou_7 (1998); Checklist NACC_list_species_aou_7_57.csv (2017),1891; 1957; January 1982; February 1982; 1997; 1998; 2017,no,yes,no,
Petrochelidon melanogastra,Petrochelidon melanogastra,1,Dataset aou_2_11 (1902); Dataset aou_2_13 (1904),1902; 1904,no,no,no,
Petrochelidon pyrrhonota,"Petrochelidon albifrons, Hirundo pyrrhonota, Petrochelidon lunifrons, Petrochelidon pyrrhonota",4,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1944; January 1982; February 1982; 1997; 2017,yes,yes,yes,Avibase: rename
Petrochelidon rufocollaris,Petrochelidon rufocollaris,1,Dataset aou_6_41 (1997),1997,no,yes,no,
Peucaea aestivalis,"Aimophila aestivalis, Peucaea aestivalis, Peucaea aestivalis bachmanii",3,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_51 (2010); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1957; January 1982; February 1982; 2010; 2017,yes,yes,no,
Peucaea arizonae,Peucaea arizonae,1,Checklist aou_1.csv (1886); Dataset aou_2_11 (1902),1886; 1902,yes,no,no,
Peucaea botterii,"Peucaea botterii, Aimophila botterii",2,Dataset aou_2_11 (1902); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_51 (2010); Checklist NACC_list_species_aou_7_57.csv (2017),1902; 1910; 1931; January 1982; February 1982; 2010; 2017,no,yes,no,
Peucaea carpalis,"Peucaea carpalis, Aimophila carpalis",2,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_51 (2010); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; January 1982; February 1982; 2010; 2017,yes,yes,no,
Peucaea cassinii,"Peucaea cassinii, Aimophila cassini, Peucaea cassini, Aimophila cassinii",4,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_51 (2010); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1944; January 1982; February 1982; 2010; 2017,yes,yes,no,
Peucaea mexicana,Peucaea mexicana,1,Checklist aou_1.csv (1886); Dataset aou_2_11 (1902),1886; 1902,yes,no,no,
Peucedramus taeniatus,"Peucedramus taeniatus, Peucedramus olivaceus, Dendroica olivacea",3,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_3_17 (1920); Dataset aou_4_24 (1949); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_6_35 (1985); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1920; 1949; 1957; January 1982; February 1982; 1983; 1985; 1997; 2017,yes,yes,yes,Avibase: rename
Phaeopus hudsonicus,"Numenius hudsonicus, Phaeopus hudsonicus",2,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_4_19 (1944),1886; 1931; 1944,yes,no,no,
Phaethon aethereus,Phaethon aethereus,1,Checklist aou_1.csv (1886); Dataset aou_2_15 (1909); Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1909; 1931; 1957; January 1982; February 1982; 2017,yes,yes,no,
Phaethon americanus,"Phaethon flavirostris, Phaethon americanus",2,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_2_15 (1909); Dataset aou_4 (1931),1886; 1899; 1909; 1931,yes,no,yes,Avibase: rename
Phaethon lepturus,Phaethon lepturus,1,Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1957; January 1982; February 1982; 2017,no,yes,yes,Avibase: rename
Phaethon rubricauda,"Phaethon rubricaudus, Phaethon rubricauda",2,Dataset aou_2_09 (1899); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1899; 1931; 1944; 1957; January 1982; February 1982; 2017,no,yes,no,
Phainopepla nitens,Phainopepla nitens,1,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_3 (1910); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1910; February 1982; 2017,yes,yes,no,
Phalacrocorax auritus,"Phalacrocorax dilophus cincinatus, Phalacrocorax dilophus floridanus, Phalacrocorax dilophus, Phalacrocorax dilophus albociliatus, Phalacrocorax auritus",5,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; February 1982; 2017,yes,yes,yes,Avibase: rename
Phalacrocorax brasilianus,"Phalacrocorax brasilianus, Phalacrocorax olivaceus",2,Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_6_38 (1991); Checklist NACC_list_species_aou_7_57.csv (2017),1957; February 1982; 1991; 2017,no,yes,yes,Avibase: rename
Phalacrocorax carbo,Phalacrocorax carbo,1,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1957; February 1982; 2017,yes,yes,no,
