name,cluster,cluster_count,datasets,dates,recognized_in_first_dataset,recognized_in_last_dataset,suspicious,"Note that every ""fixed"" here means that the cluster was broken. No other taxonomic changes were entered."
Setophaga occidentalis,"Setophaga occidentalis, Dendroica occidentalis",2,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1920; 1957; January 1982; February 1982; 1983; 2011; 2017,yes,yes,no,
Setophaga palmarum,"Setophaga palmarum, Dendroica palmarum hypochrysea, Dendroica palmarum",3,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1920; 1957; January 1982; February 1982; 1983; 2011; 2017,yes,yes,no,
Setophaga pensylvanica,"Dendroica pensylvanica, Setophaga pensylvanica",2,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1920; 1957; January 1982; February 1982; 1983; 2011; 2017,yes,yes,no,
Setophaga petechia,"Dendroica petechia, Setophaga petechia",2,Dataset aou_4_19 (1944); Dataset aou_4_20 (1945); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1944; 1945; 1957; January 1982; February 1982; 1983; 2011; 2017,no,yes,no,
Setophaga pinus,"Setophaga pinus, Dendroica vigorsii, Dendroica vigorsi, Dendroica pinus",4,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_3_17 (1920); Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; 1920; 1931; 1957; January 1982; February 1982; 1983; 2011; 2017,yes,yes,yes,Avibase: rename
Setophaga pitiayumi,"Parula pitiayumi, Setophaga pitiayumi, Compsothlypis pitiayumi",3,Dataset aou_2_13 (1904); Dataset aou_3_17 (1920); Dataset aou_4_22 (1947); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1904; 1920; 1947; 1957; 1973; January 1982; February 1982; 1983; 2011; 2017,no,yes,no,
Setophaga ruticilla,Setophaga ruticilla,1,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_3_17 (1920); Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; 1920; 1931; 1957; January 1982; February 1982; 1983; 2017,yes,yes,no,
Setophaga striata,"Setophaga striata, Dendroica striata",2,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1920; 1957; January 1982; February 1982; 1983; 2011; 2017,yes,yes,no,
Setophaga tigrina,"Setophaga tigrina, Dendroica tigrina",2,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1920; 1957; January 1982; February 1982; 1983; 2011; 2017,yes,yes,no,
Setophaga townsendi,"Dendroica townsendi, Setophaga townsendi",2,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1920; 1957; January 1982; February 1982; 1983; 2011; 2017,yes,yes,no,
Setophaga virens,"Setophaga virens, Dendroica virens",2,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1920; 1957; January 1982; February 1982; 1983; 2011; 2017,yes,yes,no,
Sialia currucoides,"Sialia currucoides, Sialia arctica",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; January 1982; February 1982; 1983; 2017,yes,yes,yes,Avibase: rename
Sialia mexicana,Sialia mexicana,1,Checklist aou_1.csv (1886); Dataset aou_1_07 (1895); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1895; January 1982; February 1982; 1983; 2017,yes,yes,no,
Sialia sialis,"Sialia sialis azurea, Sialia sialis",2,Checklist aou_1.csv (1886); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1957; January 1982; February 1982; 1983; 2017,yes,yes,no,
Sitta canadensis,Sitta canadensis,1,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; February 1982; 2017,yes,yes,no,
Sitta carolinensis,"Sitta carolinensis, Sitta carolinensis aculeata",2,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; February 1982; 2017,yes,yes,no,
Sitta pusilla,Sitta pusilla,1,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; February 1982; 2017,yes,yes,no,
Sitta pygmaea,Sitta pygmaea,1,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; 1957; February 1982; 1983; 2017,yes,yes,no,
Somateria dresseri,Somateria dresseri,1,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_3_18 (1923),1886; 1910; 1923,yes,no,no,
Somateria fischeri,"Arctonetta fischeri, Somateria fischeri, Lampronetta fischeri",3,Checklist aou_1.csv (1886); Dataset aou_4_31 (1956); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1956; 1973; February 1982; 2017,yes,yes,no,
Somateria mollissima,Somateria mollissima,1,Checklist aou_1.csv (1886); Dataset aou_1_01 (1889); Dataset aou_1_02 (1890); Dataset aou_2 (1895); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1889; 1890; 1895; 1931; 1944; 1957; February 1982; 2017,yes,yes,no,
Somateria spectabilis,Somateria spectabilis,1,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2017,yes,yes,no,
Somateria v-nigra,Somateria v-nigra,1,Checklist aou_1.csv (1886); Dataset aou_4_19 (1944),1886; 1944,yes,no,no,
Sphyrapicus nuchalis,Sphyrapicus nuchalis,1,Dataset aou_6_35 (1985); Checklist NACC_list_species_aou_7_57.csv (2017),1985; 2017,no,yes,no,
Sphyrapicus ruber,Sphyrapicus ruber,1,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; January 1982; February 1982; 2017,yes,yes,no,
Sphyrapicus thyroideus,Sphyrapicus thyroideus,1,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2017,yes,yes,no,
Sphyrapicus varius,"Sphyrapicus varius nuchalis, Sphyrapicus varius",2,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Checklist aou_5_34.csv (February 1982); Dataset aou_6_35 (1985); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; February 1982; 1985; 2017,yes,yes,no,
Spinus lawrencei,"Astragalinus lawrencei, Carduelis lawrencei, Spinus lawrencei",3,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_4 (1931); Dataset aou_5_33 (1976); Checklist aou_5_34.csv (February 1982); Dataset aou_7_50 (2009); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1931; 1976; February 1982; 2009; 2017,yes,yes,no,
Spinus notatus,"Carduelis notata, Spinus notatus",2,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_6 (1983); Dataset aou_7_50 (2009); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1983; 2009; 2017,yes,yes,no,
Spinus pinus,"Spinus pinus, Carduelis pinus",2,Checklist aou_1.csv (1886); Dataset aou_5_33 (1976); Checklist aou_5_34.csv (February 1982); Dataset aou_7_50 (2009); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1976; February 1982; 2009; 2017,yes,yes,no,
Spinus psaltria,"Spinus psaltria, Astragalinus psaltria, Carduelis psaltria, Spinus psaltria arizonae, Spinus psaltria mexicanus",5,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_33 (1976); Checklist aou_5_34.csv (February 1982); Dataset aou_7_50 (2009); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1931; 1957; 1976; February 1982; 2009; 2017,yes,yes,no,
Spinus tristis,"Astragalinus tristis, Spinus tristis, Carduelis tristis",3,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_33 (1976); Checklist aou_5_34.csv (February 1982); Dataset aou_7_50 (2009); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; 1910; 1931; 1957; 1976; February 1982; 2009; 2017,yes,yes,no,
Spiza americana,Spiza americana,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 1983; 2017,yes,yes,no,
Spizella atrogularis,"Spizella atrigularis, Spizella atrogularis",2,Checklist aou_1.csv (1886); Dataset aou_2_11 (1902); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1902; January 1982; February 1982; 2017,yes,yes,no,
Spizella breweri,Spizella breweri,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2017,yes,yes,no,
Spizella pallida,Spizella pallida,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2017,yes,yes,no,
Spizella passerina,"Spizella socialis arizonae, Spizella socialis, Spizella passerina",3,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; January 1982; February 1982; 2017,yes,yes,yes,Avibase: rename
Spizella pusilla,Spizella pusilla,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2017,yes,yes,no,
Spizella wortheni,Spizella wortheni,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2017,yes,yes,no,
Spizelloides arborea,"Spizella monticola, Spizella monticola ochracea, Spizelloides arborea, Spizella arborea",4,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_56 (2015); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; January 1982; February 1982; 2015; 2017,yes,yes,yes,Avibase: rename
Sporophila torqueola,"Sporophila torqueola, Sporophila morelleti",2,Checklist aou_1.csv (1886); Dataset aou_1_01 (1889); Dataset aou_2_12 (1903); Dataset aou_3 (1910); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1889; 1903; 1910; 1944; 1957; January 1982; February 1982; 2017,yes,yes,yes,Avibase: rename
Starnoenas cyanocephala,Starnoenas cyanocephala,1,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1983; 2017,yes,yes,no,
Stelgidopteryx ruficollis,Stelgidopteryx ruficollis,1,Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1931; January 1982; 1983; 2017,no,yes,no,
Stelgidopteryx serripennis,Stelgidopteryx serripennis,1,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; January 1982; February 1982; 2017,yes,yes,no,
Stercorarius antarcticus,Stercorarius antarcticus,1,Dataset aou_7_56 (2015),2015,no,yes,no,
Stercorarius longicaudus,Stercorarius longicaudus,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_47 (2006); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2006; 2017,yes,yes,no,
Stercorarius parasiticus,Stercorarius parasiticus,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_47 (2006); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2006; 2017,yes,yes,no,
Stercorarius pomarinus,Stercorarius pomarinus,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_47 (2006); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2006; 2017,yes,yes,no,
Stercorarius skua,"Catharacta skua, Stercorarius skua, Megalestris skua",3,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_42 (2000); Dataset aou_7_47 (2006); Dataset aou_7_56 (2015); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1920; 1944; 1957; January 1982; February 1982; 1983; 2000; 2006; 2015; 2017,yes,yes,no,
Sterna dougallii,"Sterna dougallii, Sterna dougalli",2,Checklist aou_1.csv (1886); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1944; February 1982; 2017,yes,yes,no,
Sterna forsteri,Sterna forsteri,1,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2017,yes,yes,no,
Sterna hirundo,Sterna hirundo,1,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2017,yes,yes,no,
Sterna paradisaea,Sterna paradisaea,1,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2017,yes,yes,no,
Sterna trudeaui,Sterna trudeaui,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982),1886; January 1982,yes,no,no,
Sternula albifrons,"Sterna albifrons, Sternula albifrons",2,Dataset aou_4_19 (1944); Dataset aou_5_34 (January 1982); Dataset aou_6_36 (1987); Dataset aou_7_47 (2006); Checklist NACC_list_species_aou_7_57.csv (2017),1944; January 1982; 1987; 2006; 2017,no,yes,no,
Sternula antillarum,"Sternula antillarum, Sterna antillarum",2,Checklist aou_1.csv (1886); Dataset aou_4_19 (1944); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_47 (2006); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1944; January 1982; February 1982; 2006; 2017,yes,yes,no,
Streptopelia chinensis,"Streptopelia chinensis, Spilopelia chinensis",2,Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1944; 1957; February 1982; 2017,no,yes,no,
Streptopelia roseogrisea,"Streptopelia risoria, Streptopelia roseogrisea",2,Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_47 (2006); Checklist NACC_list_species_aou_7_57.csv (2017),1931; January 1982; February 1982; 2006; 2017,no,yes,yes,Avibase: rename
Strix nebulosa,"Scotiaptex nebulosa, Ulula cinerea, Scotiaptex cinerea, Ulula cinerea lapponica, Strix nebulosa",5,Checklist aou_1.csv (1886); Dataset aou_1_01 (1889); Dataset aou_2_12 (1903); Dataset aou_2_14 (1908); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1889; 1903; 1908; 1944; February 1982; 2017,yes,yes,yes,Avibase: rename
Strix occidentalis,"Syrnium occidentale, Strix occidentalis",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; February 1982; 2017,yes,yes,no,
Strix varia,"Syrnium nebulosum, Syrnium varium, Strix varia, Syrnium nebulosum alleni",4,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_2_14 (1908); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1903; 1908; February 1982; 2017,yes,yes,yes,Avibase: rename
Sturnella magna,"Sturnella magna, Sturnella magna neglecta, Sturnella magna mexicana",3,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1931; January 1982; February 1982; 1983; 2017,yes,yes,no,
Sturnella neglecta,Sturnella neglecta,1,Dataset aou_2_14 (1908); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1908; January 1982; February 1982; 1983; 2017,no,yes,no,
Sturnus vulgaris,Sturnus vulgaris,1,Checklist aou_1.csv (1886); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; January 1982; February 1982; 2017,yes,yes,no,
Sula brewsteri,Sula brewsteri,1,Dataset aou_1_01 (1889); Dataset aou_4_19 (1944),1889; 1944,no,no,no,
Sula dactylatra,"Sula cyanops, Sula dactylatra",2,Checklist aou_1.csv (1886); Dataset aou_3_17 (1920); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_42 (2000); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1920; January 1982; February 1982; 2000; 2017,yes,yes,yes,Avibase: rename
Sula granti,Sula granti,1,Dataset aou_7_42 (2000); Checklist NACC_list_species_aou_7_57.csv (2017),2000; 2017,no,yes,no,
Sula leucogaster,"Sula leucogaster, Sula leucogastra",2,Dataset aou_2_14 (1908); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_5 (1957); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1908; 1931; 1944; 1957; February 1982; 2017,no,yes,no,
Sula nebouxii,"Sula gossii, Sula nebouxi, Sula nebouxii",3,Dataset aou_1_01 (1889); Dataset aou_2_08 (1897); Dataset aou_3 (1910); Dataset aou_4_24 (1949); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1889; 1897; 1910; 1949; February 1982; 2017,no,yes,yes,Avibase: rename
Sula piscator,Sula piscator,1,Checklist aou_1.csv (1886); Dataset aou_4_19 (1944),1886; 1944,yes,no,no,
Sula sula,Sula sula,1,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1944; February 1982; 2017,yes,yes,no,
Surnia ulula,"Surnia ulula caparoch, Surnia ulula",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_37 (1989); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1910; 1931; 1957; January 1982; February 1982; 1989; 2017,yes,yes,no,
Synthliboramphus antiquus,"Synthliboramphus antiquus, Synthliboramphus antiquum",2,Checklist aou_1.csv (1886); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1957; 1973; February 1982; 2017,yes,yes,no,
Synthliboramphus craveri,"Endomychura craveri, Brachyramphus craverii, Endomychura craverii, Brachyramphus craveri, Synthliboramphus craveri",5,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_4_21 (1946); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; 1931; 1944; 1946; January 1982; February 1982; 2017,yes,yes,no,
Synthliboramphus hypoleucus,"Synthliboramphus hypoleucus, Endomychura hypoleucus, Brachyramphus hypoleucus, Endomychura hypoleuca",4,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_4_21 (1946); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7 (1998); Dataset aou_7_53 (2012); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1944; 1946; 1957; January 1982; February 1982; 1998; 2012; 2017,yes,yes,no,
Synthliboramphus scrippsi,Synthliboramphus scrippsi,1,Dataset aou_7_53 (2012); Checklist NACC_list_species_aou_7_57.csv (2017),2012; 2017,no,yes,no,
Synthliboramphus wumizusume,Synthliboramphus wumizusume,1,Checklist aou_1.csv (1886); Dataset aou_1_01 (1889),1886; 1889,yes,no,no,
Tachybaptus dominicus,"Colymbus dominicus, Podiceps dominicus, Tachybaptus dominicus",3,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_2_15 (1909); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1909; 1957; January 1982; February 1982; 2017,yes,yes,no,
Tachycineta bicolor,"Tachycineta bicolor, Iridoprocne bicolor",2,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1903; January 1982; February 1982; 2017,yes,yes,no,
Tachycineta cyaneoviridis,"Tachycineta cyaneoviridis, Callichelidon cyaneoviridis",2,Dataset aou_1_03 (1891); Dataset aou_3 (1910); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1891; 1910; January 1982; February 1982; 2017,no,yes,no,
Tachycineta thalassina,Tachycineta thalassina,1,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_4 (1931); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; 1931; February 1982; 2017,yes,yes,no,
Tadorna ferruginea,"Tadorna ferruginea, Casarca ferruginea, Casarca casarca",3,Dataset aou_2_08 (1897); Dataset aou_2_14 (1908); Dataset aou_5 (1957); Dataset aou_5_32 (1973); Dataset aou_5_34 (January 1982),1897; 1908; 1957; 1973; January 1982,no,no,yes,Avibase: rename
Tadorna tadorna,Tadorna tadorna,1,Dataset aou_4 (1931); Dataset aou_5_34 (January 1982),1931; January 1982,no,no,no,
Telmatodytes marianae,"Cistothorus marianae, Telmatodytes marianae",2,Dataset aou_1_01 (1889); Dataset aou_2_12 (1903); Dataset aou_2_13 (1904),1889; 1903; 1904,no,no,no,
Thalassarche cauta,"Thalassarche cauta, Diomedea cauta",2,Dataset aou_4_28 (1953); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Dataset aou_7_55 (2014); Checklist NACC_list_species_aou_7_57.csv (2017),1953; 1957; January 1982; February 1982; 1997; 2014; 2017,no,yes,no,
Thalassarche chlororhynchos,"Diomedea chlororhynchos, Thalassogeron culminatus, Thalassogeron chlororhynchos, Thalassarche chlororhynchos, Thalassarche chlororhynchus",5,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_4_19 (1944); Checklist aou_5_34.csv (February 1982); Dataset aou_6_41 (1997); Dataset aou_7 (1998); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1944; February 1982; 1997; 1998; 2017,yes,yes,yes,Avibase: rename
Thalassarche eremita,Thalassarche eremita,1,Dataset aou_7_55 (2014),2014,no,yes,no,
Thalassarche melanophris,"Diomedea melanophris, Diomedea melanophrys, Thalassarche melanophris",3,Dataset aou_4_22 (1947); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Dataset aou_6 (1983); Dataset aou_6_41 (1997); Checklist NACC_list_species_aou_7_57.csv (2017),1947; 1957; January 1982; 1983; 1997; 2017,no,yes,no,
Thalassarche salvini,Thalassarche salvini,1,Dataset aou_7_55 (2014); Checklist NACC_list_species_aou_7_57.csv (2017),2014; 2017,no,yes,no,
