name,synonyms,taxon_concept_count,taxon_concepts,trajectory,trajectory_without_renames,trajectory_lumps_splits,first_added_dataset,first_added_year,annotation,common_name,aou_ids,family,french_name,genus,order,rank,scientificName,species,status_accidental,status_extinct,status_hawaiian,status_introduced,status_misplaced,status_nonbreeding,subfamily
Phalaropus fulicarius,Phalaropus fulicarius; Phalaropus fulicaria; Crymophilus fulicarius,1,Taxon concept 520da50c-e63a-498d-9926-160927e2f1a9 containing 'Phalaropus fulicarius' and 'Phalaropus fulicaria' and 'Crymophilus fulicarius' found between 1886 to 2017 in 7 datasets (part of name cluster c76ed9b3-26d5-419e-a4af-d818d0337be1),added -> rename -> referenced -> rename -> referenced -> rename -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Red Phalarope,222; 459,Scolopacidae,Phalarope à bec large,Phalaropus,Charadriiformes,species,Phalaropus fulicaria; Crymophilus fulicarius,Phalaropus fulicarius,NA,NA,NA,NA,NA,NA,Tringinae
Anas rubripes,Anas rubripes; Anas obscura,1,Taxon concept 93cce424-9742-4a88-86e3-c74544b69984 containing 'Anas rubripes' and 'Anas obscura' found between 1886 to 2017 in 5 datasets (part of name cluster b0a7293d-7e91-4861-b412-6bcc28385c40),added -> rename -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,American Black Duck,133; 36,Anatidae,Canard noir,Anas,Anseriformes,species,Anas rubripes; Anas obscura,Anas rubripes,NA,NA,NA,NA,NA,NA,Anatinae
Loxia curvirostra,Loxia curvirostra minor; Loxia curvirostra; Loxia curvirostra stricklandi,1,Taxon concept 31dc759d-7a62-40a3-a995-d62f863e5e1b containing 'Loxia curvirostra minor' and 'Loxia curvirostra' and 'Loxia curvirostra stricklandi' found between 1886 to 2017 in 5 datasets (part of name cluster f251a2f3-13e4-4fd3-b3fb-5af10254872d),added|added -> referenced -> referenced -> added|deleted|deleted -> referenced,added|added -> referenced -> referenced -> added|deleted|deleted -> referenced,,aou_1.csv (1886),1886,NA,Red Crossbill,1854; 521; 521a,Fringillidae,Bec-croisé des sapins,Loxia,Passeriformes,species,Loxia curvirostra minor; Loxia curvirostra; Loxia curvirostra stricklandi,Loxia curvirostra,NA,NA,NA,NA,NA,NA,Carduelinae
Myiarchus crinitus,Myiarchus crinitus,1,Taxon concept 840bf5fb-d926-4d71-8f60-14b97509f346 containing 'Myiarchus crinitus' found between 1886 to 2017 in 4 datasets (part of name cluster 933a9828-fa5c-493f-9aab-76c127aea811),added -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Great Crested Flycatcher,452; 1169,Tyrannidae,Tyran huppé,Myiarchus,Passeriformes,species,Myiarchus crinitus,Myiarchus crinitus,NA,NA,NA,NA,NA,NA,Tyranninae
Fregetta tropica,Cymodroma grallaria; Fregetta tropica; Fregetta grallaria,1,Taxon concept e206e3b4-614d-416c-9345-9a993eee3135 containing 'Cymodroma grallaria' and 'Fregetta grallaria' and 'Fregetta tropica' found between 1886 to 2017 in 8 datasets (part of name cluster 97168ef6-9399-4259-bef2-000f45d83c8c),added -> rename -> referenced -> rename -> referenced -> deleted -> added -> referenced,added -> referenced -> referenced -> deleted -> added -> referenced,,aou_1.csv (1886),1886,NA,Black-bellied Storm-Petrel,[110]; 183,Hydrobatidae,Océanite à ventre noir,Fregetta,Procellariiformes,species,Cymodroma grallaria,Fregetta tropica,A,NA,NA,NA,NA,NA,NA
Leucophaeus atricilla,Larus atricilla; Leucophaeus atricilla,1,Taxon concept 44d83cd8-95b9-433c-aa87-2fed8d37653c containing 'Larus atricilla' and 'Leucophaeus atricilla' found between 1886 to 2017 in 4 datasets (part of name cluster de0940b3-9b27-4281-ae09-42d790dedd12),added -> referenced -> rename -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Laughing Gull,58; 1990,Laridae,Mouette atricille,Leucophaeus,Charadriiformes,species,Larus atricilla,Leucophaeus atricilla,NA,NA,NA,NA,NA,NA,Larinae
Anthus rubescens,Anthus pensilvanicus; Anthus rubescens,3,Taxon concept 45f21af5-073b-4041-8b4d-9bf722e3ecd5 containing 'Anthus rubescens' found between 1989 to 2017 in 2 datasets (part of name cluster abbbf4b2-2829-46e9-8216-a73f5c1ba6a5); Taxon concept 5767137b-11e0-45a8-b38c-e066c89b8d15 containing 'Anthus rubescens' and 'Anthus pensilvanicus' found between 1886 to 1931 in 4 datasets (part of name cluster abbbf4b2-2829-46e9-8216-a73f5c1ba6a5); Taxon concept c32beef6-a2bc-4920-bd24-c2a2bda92348 containing 'Anthus rubescens' found between 1931 to 1989 in 2 datasets (part of name cluster abbbf4b2-2829-46e9-8216-a73f5c1ba6a5),added -> rename -> referenced -> lump -> split -> referenced,added -> referenced -> lump -> split -> referenced,lump -> split,aou_1.csv (1886),1886,NA,American Pipit,1521; 697,Motacillidae,Pipit d'Amérique,Anthus,Passeriformes,species,Anthus pensilvanicus,Anthus rubescens,NA,NA,NA,NA,NA,NA,NA
Morus bassanus,Moris bassana; Sula bassanus; Sula bassana; Morus bassanus,1,Taxon concept 82b2b7ad-02ca-4208-8eba-81b73b0ebd4b containing 'Morus bassanus' and 'Sula bassanus' and 'Sula bassana' and 'Moris bassana' found between 1886 to 2017 in 7 datasets (part of name cluster 12ea49bc-b714-4940-a014-77599a25bc70),added -> rename -> rename -> rename -> referenced -> rename -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Northern Gannet,204; 117,Sulidae,Fou de Bassan,Morus,Suliformes,species,Sula bassanus; Sula bassana,Morus bassanus,NA,NA,NA,NA,NA,NA,NA
Egretta caerulea,Florida caerulea; Egretta caerulea; Ardea coerulea; Ardea caerulea,1,Taxon concept efb4a7da-df4d-4119-9b3d-fab4b2e50c25 containing 'Egretta caerulea' and 'Ardea caerulea' and 'Florida caerulea' and 'Ardea coerulea' found between 1886 to 2017 in 6 datasets (part of name cluster 349a1cf1-e497-4c18-baa4-e1caa24f01c6),added -> rename -> rename -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Little Blue Heron,233; 200,Ardeidae,Aigrette bleue,Egretta,Pelecaniformes,species,Egretta caerulea; Ardea coerulea,Egretta caerulea,NA,NA,NA,NA,NA,NA,NA
Basileuterus lachrymosus,Euthlypis lachrymosa; Basileuterus lachrymosus,1,Taxon concept f498f6db-d0d7-4247-8232-9c55534d3c3a containing 'Basileuterus lachrymosus' and 'Euthlypis lachrymosa' found between 1931 to 2017 in 7 datasets (part of name cluster 84066066-92fb-486c-9630-c2fe350a5813),added -> referenced -> referenced -> referenced -> referenced -> rename -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_4 (1931),1931,NA,Fan-tailed Warbler,1609,Parulidae,Paruline des rochers,Basileuterus,Passeriformes,species,Euthlypis lachrymosa,Basileuterus lachrymosus,NA,NA,NA,NA,NA,NA,NA
Ammodramus bairdii,Ammodramus bairdii; Ammodramus bairdi; Coturniculus bairdii,1,Taxon concept cfbe263a-b4a2-4641-be91-668e06eb81e6 containing 'Ammodramus bairdii' and 'Ammodramus bairdi' and 'Coturniculus bairdii' found between 1886 to 2017 in 8 datasets (part of name cluster b30c31d3-9475-44d6-9e25-3bbc6dd8eda7),added -> rename -> rename -> rename -> rename -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Baird's Sparrow,2039; 545,Emberizidae,Bruant de Baird,Ammodramus,Passeriformes,species,Ammodramus bairdii,Ammodramus bairdii,NA,NA,NA,NA,NA,NA,NA
Emberiza rustica,Emberiza rustica,1,Taxon concept c5f9cf05-8069-4cb5-a953-b653e70ae358 containing 'Emberiza rustica' found between 1912 to 2017 in 4 datasets (part of name cluster 60114924-e6b3-4a72-8fa1-16aad168cff6),added -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced,,aou_3_16 (1912),1912,NA,Rustic Bunting,1738,Emberizidae,Bruant rustique,Emberiza,Passeriformes,species,Emberiza rustica,Emberiza rustica,A,NA,NA,NA,NA,NA,NA
Eudocimus albus,Eudocimus albus; Guara alba,1,Taxon concept 5deeb8e7-616b-4846-bd28-202fc54ab71f containing 'Eudocimus albus' and 'Guara alba' found between 1886 to 2017 in 5 datasets (part of name cluster 1dba7f9d-4029-43f1-9997-cdba0d1d4167),added -> referenced -> rename -> referenced -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,White Ibis,245; 184,Threskiornithidae,Ibis blanc,Eudocimus,Pelecaniformes,species,Eudocimus albus; Guara alba,Eudocimus albus,NA,NA,NA,NA,NA,NA,Threskiornithinae
Phaethon aethereus,Phaethon aethereus,1,Taxon concept f3cd89d5-b5ae-4ba5-a8c6-0325ee4fe049 containing 'Phaethon aethereus' found between 1886 to 2017 in 7 datasets (part of name cluster 340ce516-05af-4507-afeb-b7a5289439f9),added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Red-billed Tropicbird,113; 196,Phaethontidae,Phaéton à bec rouge,Phaethon,Phaethontiformes,species,Phaethon aethereus,Phaethon aethereus,NA,NA,NA,NA,NA,NA,NA
Vanellus vanellus,Vanellus vanellus,1,Taxon concept fe16bba0-15d0-4df6-bc3a-eb8976ee9a46 containing 'Vanellus vanellus' found between 1886 to 2017 in 4 datasets (part of name cluster e54a0793-0ba0-4a64-80db-783618c09047),added -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Northern Lapwing,369; [269],Charadriidae,Vanneau huppé,Vanellus,Charadriiformes,species,Vanellus vanellus,Vanellus vanellus,A,NA,NA,NA,NA,NA,Vanellinae
Fulica atra,Fulica atra,1,Taxon concept 6539c1d2-d81e-48e1-9cc8-cbec64ab540b containing 'Fulica atra' found between 1886 to 2017 in 4 datasets (part of name cluster 42ababa5-2253-4f96-a13c-a104d411944e),added -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Eurasian Coot,[220]; 358,Rallidae,Foulque macroule,Fulica,Gruiformes,species,Fulica atra,Fulica atra,A,NA,NA,NA,NA,NA,NA
Geothlypis formosa,Oporornis formosus; Geothlypis formosa; Oporornis formosa,1,Taxon concept 61a68b2b-15fd-41fc-963d-8b6f925a7658 containing 'Oporornis formosa' and 'Geothlypis formosa' and 'Oporornis formosus' found between 1886 to 2017 in 10 datasets (part of name cluster 5c1ded48-0874-4da0-9d1c-746f27ab7010),added -> rename -> rename -> referenced -> referenced -> referenced -> referenced -> referenced -> rename -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Kentucky Warbler,677; 1583,Parulidae,Paruline du Kentucky,Geothlypis,Passeriformes,species,Oporornis formosus; Geothlypis formosa,Geothlypis formosa,NA,NA,NA,NA,NA,NA,NA
Cistothorus platensis,Cistothorus stellaris; Cistothorus platensis,1,Taxon concept 22dd2659-6f65-4f4b-91d2-4a0dd942e67d containing 'Cistothorus stellaris' and 'Cistothorus platensis' found between 1886 to 2017 in 5 datasets (part of name cluster 673f6db7-d4ca-4082-99f8-afc3b326749c),added -> rename -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Sedge Wren,724; 1390,Troglodytidae,Troglodyte à bec court,Cistothorus,Passeriformes,species,Cistothorus stellaris; Cistothorus platensis,Cistothorus platensis,NA,NA,NA,NA,NA,NA,NA
Puffinus lherminieri,Puffinus lherminieri; Puffinus auduboni,2,Taxon concept d0ccf91b-940a-4ef0-89d6-bb5bace05e25 containing 'Puffinus lherminieri' and 'Puffinus auduboni' found between 1886 to 2012 in 6 datasets (part of name cluster 51f75c5a-d88f-405f-a8df-1ac114f96c16); Taxon concept 8d25f381-430f-42ce-be0c-698c3678784c containing 'Puffinus lherminieri' found between 2012 to 2017 in 2 datasets (part of name cluster 51f75c5a-d88f-405f-a8df-1ac114f96c16),added -> rename -> referenced -> referenced -> referenced -> split -> referenced,added -> referenced -> referenced -> referenced -> split -> referenced,split,aou_1.csv (1886),1886,NA,Audubon's Shearwater,180; 92,Procellariidae,Puffin d'Audubon,Puffinus,Procellariiformes,species,Puffinus lherminieri; Puffinus auduboni,Puffinus lherminieri,NA,NA,NA,NA,NA,NA,NA
Polioptila caerulea,Polioptila caerulea,1,Taxon concept a6db70b4-3290-4c45-9693-fa7cf3669f9f containing 'Polioptila caerulea' found between 1886 to 2017 in 6 datasets (part of name cluster 7ffc62b3-23fd-4597-8125-f57c5a02a3b2),added -> referenced -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Blue-gray Gnatcatcher,751; 2010,Polioptilidae,Gobemoucheron gris-bleu,Polioptila,Passeriformes,species,Polioptila caerulea,Polioptila caerulea ,NA,NA,NA,NA,NA,NA,NA
Cuculus optatus,Cuculus optatus,3,Taxon concept 22f75655-389d-4c13-bc69-34792c38b4cf containing 'Cuculus optatus' found between 2006 to 2017 in 2 datasets (part of name cluster b6df1ed0-3873-4993-b4e1-a3951ecdca67); Taxon concept 6907a2be-1045-4a1e-b329-ae2d0037da9a containing 'Cuculus optatus' found between 1944 to 2006 in 2 datasets (part of name cluster b6df1ed0-3873-4993-b4e1-a3951ecdca67); Taxon concept 4eb3ab05-abb5-4df5-949e-0d954b01e069 containing 'Cuculus optatus' found between 1931 to 1944 in 2 datasets (part of name cluster b6df1ed0-3873-4993-b4e1-a3951ecdca67),added -> lump -> split -> referenced,added -> lump -> split -> referenced,lump -> split,aou_4 (1931),1931,NA,Oriental Cuckoo,640,Cuculidae,Coucou oriental,Cuculus,Cuculiformes,species,NA,Cuculus optatus,A,NA,NA,NA,NA,NA,Cuculinae
Larus thayeri,Larus thayeri,2,Taxon concept 953ff9be-3aa4-4eee-8217-2d715e092531 containing 'Larus thayeri' found between 1923 to 1931 in 2 datasets (part of name cluster e950460b-abfa-4a82-a3d4-02a8d35be947); Taxon concept 30f04ea6-ea98-46f5-bfc4-1f33409c2c60 containing 'Larus thayeri' found between 1931 to 2017 in 4 datasets (part of name cluster e950460b-abfa-4a82-a3d4-02a8d35be947),added -> lump -> added -> referenced -> referenced,added -> lump -> added -> referenced -> referenced,lump,aou_3_18 (1923),1923,Monotypic.,Thayer's Gull,469,Laridae,Goéland de Thayer,Larus,Charadriiformes,species,Larus thayeri,Larus thayeri,NA,NA,NA,NA,NA,NA,Larinae
Setophaga magnolia,Dendroica magnolia; Setophaga magnolia; Dendroica maculosa,1,Taxon concept f928744a-3de0-4ec8-b58c-d2316eaf7bb1 containing 'Setophaga magnolia' and 'Dendroica magnolia' and 'Dendroica maculosa' found between 1886 to 2017 in 9 datasets (part of name cluster 7aff971d-b0d6-4024-b35f-d911042f122f),added -> rename -> referenced -> referenced -> referenced -> referenced -> referenced -> rename -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Magnolia Warbler,1547; 657,Parulidae,Paruline à tête cendrée,Setophaga,Passeriformes,species,Dendroica magnolia; Dendroica maculosa,Setophaga magnolia,NA,NA,NA,NA,NA,NA,NA
Sphyrapicus varius,Sphyrapicus varius; Sphyrapicus varius nuchalis,3,Taxon concept 6f936932-c81b-4934-8cea-f194630cab87 containing 'Sphyrapicus varius nuchalis' and 'Sphyrapicus varius' found between 1886 to 1931 in 2 datasets (part of name cluster cf771dfa-cecd-40c4-aca8-118b9dace5c0); Taxon concept 19fb3801-7133-46f3-83aa-178824175db6 containing 'Sphyrapicus varius' found between 1931 to 1985 in 3 datasets (part of name cluster cf771dfa-cecd-40c4-aca8-118b9dace5c0); Taxon concept a6defa75-d7e1-4dfa-819a-ad09807edb42 containing 'Sphyrapicus varius' found between 1985 to 2017 in 2 datasets (part of name cluster cf771dfa-cecd-40c4-aca8-118b9dace5c0),added|added -> lump -> deleted -> split -> referenced,added|added -> lump -> deleted -> split -> referenced,lump -> split,aou_1.csv (1886),1886,Monotypic.,Yellow-bellied Sapsucker,402a; 402; 956,Picidae,Pic maculé,Sphyrapicus,Piciformes,species,Sphyrapicus varius; Sphyrapicus varius nuchalis,Sphyrapicus varius,NA,NA,NA,NA,NA,NA,Picinae
Elanoides forficatus,Elanoides forficatus,1,Taxon concept 78b95fba-ba4d-4146-85e2-1728ff922a9a containing 'Elanoides forficatus' found between 1886 to 2017 in 7 datasets (part of name cluster 8bb9890f-82c8-4d62-b937-b4b22e87c561),added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Swallow-tailed Kite,327; 262,Accipitridae,Milan à queue fourchue,Elanoides,Accipitriformes,species,Elanoides forficatus,Elanoides forficatus,NA,NA,NA,NA,NA,NA,NA
Oporornis agilis,Oporornis agilis; Geothlypis agilis,1,Taxon concept c3c46aef-4c5e-466c-9b40-87fd581f557b containing 'Oporornis agilis' and 'Geothlypis agilis' found between 1886 to 2017 in 8 datasets (part of name cluster 6552e4c4-9da1-4156-894a-cf16e0933cf3),added -> rename -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Connecticut Warbler,1584; 678,Parulidae,Paruline à gorge grise,Oporornis,Passeriformes,species,Oporornis agilis; Geothlypis agilis,Oporornis agilis,NA,NA,NA,NA,NA,NA,NA
Passer domesticus,Passer domesticus,1,Taxon concept 3167ab67-61ce-44fb-9d59-d1a03129345c containing 'Passer domesticus' found between 1931 to 2017 in 5 datasets (part of name cluster 85f8e58f-29e8-48cd-97bd-8153f5b4f12c),added -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_4 (1931),1931,NA,House Sparrow,1907,Passeridae,Moineau domestique,Passer,Passeriformes,species,Passer domesticus,Passer domesticus,NA,NA,NA,I,NA,NA,NA
Centrocercus minimus,Centrocercus minimus,2,Taxon concept c7c3ec4a-e530-4fe9-b8cd-9e3e95f41f3d containing 'Centrocercus minimus' found between 2000 in 1 datasets (part of name cluster 119aa514-25ee-467a-b3b8-e2d26d721751); Taxon concept 846556ad-1559-47a2-ab57-fd0bd5954493 containing 'Centrocercus minimus' found between 2000 to 2017 in 2 datasets (part of name cluster 119aa514-25ee-467a-b3b8-e2d26d721751),split -> referenced,split -> referenced,split,aou_7_42 (2000),2000,Monotypic.,Gunnison Sage-Grouse,100,Phasianidae,Tétras du Gunnison,Centrocercus,Galliformes,species,NA,Centrocercus minimus,NA,NA,NA,NA,NA,NA,Tetraoninae
Butorides virescens,Butorides virescens; Ardea virescens,3,Taxon concept ff331766-3b07-4df5-bd1d-8a730f5331f4 containing 'Butorides virescens' found between 1976 to 1993 in 2 datasets (part of name cluster c48a9ac2-d283-4986-9006-17e4e355799c); Taxon concept cd5297f1-1d05-449c-97d5-acaeac2765d6 containing 'Butorides virescens' and 'Ardea virescens' found between 1886 to 1976 in 3 datasets (part of name cluster c48a9ac2-d283-4986-9006-17e4e355799c); Taxon concept f9826c7d-147a-441d-9c05-edc80e11941b containing 'Butorides virescens' found between 1993 to 2017 in 2 datasets (part of name cluster c48a9ac2-d283-4986-9006-17e4e355799c),added -> rename -> lump -> split -> referenced,added -> lump -> split -> referenced,lump -> split,aou_1.csv (1886),1886,NA,Green Heron,201; 238,Ardeidae,Héron vert,Butorides,Pelecaniformes,species,Ardea virescens,Butorides virescens,NA,NA,NA,NA,NA,NA,NA
Plegadis chihi,Plegadis guarauna; Plegadis chihi; Plegadis mexicana,1,Taxon concept 49cc56e7-8580-402e-a26c-4e4de3bee43c containing 'Plegadis mexicana' and 'Plegadis guarauna' and 'Plegadis chihi' found between 1886 to 2017 in 7 datasets (part of name cluster 27af1a37-dee2-4cce-8510-928176e31757),added -> referenced -> rename -> rename -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,White-faced Ibis,187; 248,Threskiornithidae,Ibis à face blanche,Plegadis,Pelecaniformes,species,Plegadis guarauna; Plegadis chihi,Plegadis chihi,NA,NA,NA,NA,NA,NA,Threskiornithinae
Lanius excubitor,Lanius excubitor,2,Taxon concept 97712851-43b7-4109-8507-9f929ce0c6ed containing 'Lanius excubitor' found between 1944 to 2017 in 3 datasets (part of name cluster 63a07067-6bc6-48c6-b452-8c718764b007); Taxon concept 62670ad7-d17a-4294-a4a7-1ffb234d4e72 containing 'Lanius excubitor' found between 1944 in 1 datasets (part of name cluster 63a07067-6bc6-48c6-b452-8c718764b007),lump -> referenced -> referenced,lump -> referenced -> referenced,lump,aou_4_19 (1944),1944,NA,Northern Shrike,1231,Laniidae,Pie-grièche grise,Lanius,Passeriformes,species,Lanius excubitor,Lanius excubitor,NA,NA,NA,NA,NA,NA,NA
Sayornis saya,Sayornis sayus; Sayornis saya,1,Taxon concept d246bba0-6cb9-44af-8ef8-c616670d226d containing 'Sayornis saya' and 'Sayornis sayus' found between 1886 to 2017 in 5 datasets (part of name cluster e716680b-d665-46ba-8c41-dd136d6f092c),added -> rename -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Say's Phoebe,457; 1155,Tyrannidae,Moucherolle à ventre roux,Sayornis,Passeriformes,species,Sayornis saya,Sayornis saya,NA,NA,NA,NA,NA,NA,Fluvicolinae
Polyborus plancus,Polyborus plancus,2,Taxon concept a0e6fcf7-53da-47bc-9abd-b6d9ae8e5f93 containing 'Polyborus plancus' found between January 1982 in 1 datasets (part of name cluster ad84b5e9-ba76-413d-acd3-07206449367c); Taxon concept 4b29bdca-3dec-47f4-8b0b-1ca761db0fc6 containing 'Polyborus plancus' found between January 1982 to 1993 in 3 datasets (part of name cluster ad84b5e9-ba76-413d-acd3-07206449367c),lump -> referenced -> referenced,lump -> referenced -> referenced,lump,aou_5_34 (January 1982),1982,NA,NA,NA,NA,NA,NA,NA,NA,Polyborus plancus,NA,NA,NA,NA,NA,NA,NA,NA
Dendragapus fuliginosus,Dendragapus fuliginosus,4,Taxon concept aafdbe9e-3ede-46da-9f0d-80da79db8be6 containing 'Dendragapus fuliginosus' found between 1931 in 1 datasets (part of name cluster 5546e6fe-b3d0-4ed6-99f3-e1393f3a3704); Taxon concept 44b4137d-957f-40e4-8d25-5c716068b51d containing 'Dendragapus fuliginosus' found between 1931 to 1944 in 2 datasets (part of name cluster 5546e6fe-b3d0-4ed6-99f3-e1393f3a3704); Taxon concept fd4e060a-8f01-42ba-8337-2222f441cf1c containing 'Dendragapus fuliginosus' found between 1944 to 2006 in 2 datasets (part of name cluster 5546e6fe-b3d0-4ed6-99f3-e1393f3a3704); Taxon concept 0a1c20c3-be7d-49c1-87aa-38418506b96f containing 'Dendragapus fuliginosus' found between 2006 to 2017 in 2 datasets (part of name cluster 5546e6fe-b3d0-4ed6-99f3-e1393f3a3704),split -> lump -> split -> referenced,split -> lump -> split -> referenced,split -> lump -> split,aou_4 (1931),1931,Monotypic.,Sooty Grouse,106,Phasianidae,Tétras fuligineux,Dendragapus,Galliformes,species,NA,Dendragapus fuliginosus,NA,NA,NA,NA,NA,NA,Tetraoninae
Archilochus alexandri,Trochilus alexandri; Archilochus alexandri,1,Taxon concept 747c0bf9-4995-4544-8e76-0bd252bc3e98 containing 'Trochilus alexandri' and 'Archilochus alexandri' found between 1886 to 2017 in 4 datasets (part of name cluster f0fc81b4-7dab-4a85-a90e-51fa91362ebc),added -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Black-chinned Hummingbird,865; 429,Trochilidae,Colibri à gorge noire,Archilochus,Apodiformes,species,Trochilus alexandri; Archilochus alexandri,Archilochus alexandri,NA,NA,NA,NA,NA,NA,Trochilinae
Icterus bullockii,Icterus bullockii; Icterus bullocki,3,Taxon concept ae4d29f6-9bd3-405c-8d20-e610e21feb5f containing 'Icterus bullockii' and 'Icterus bullocki' found between 1886 to 1973 in 3 datasets (part of name cluster baddba68-cbf1-4f46-b75b-83e39ec5f6e1); Taxon concept 665ec7e4-6a8f-4e82-98a2-70a6509eac29 containing 'Icterus bullockii' found between 1995 to 2017 in 2 datasets (part of name cluster baddba68-cbf1-4f46-b75b-83e39ec5f6e1); Taxon concept 1ede734a-00dd-4fde-9f86-f7683d8c733d containing 'Icterus bullockii' found between 1973 to 1995 in 2 datasets (part of name cluster baddba68-cbf1-4f46-b75b-83e39ec5f6e1),added -> rename -> lump -> split -> referenced,added -> lump -> split -> referenced,lump -> split,aou_1.csv (1886),1886,NA,Bullock's Oriole,1811; 508,Icteridae,Oriole de Bullock,Icterus,Passeriformes,species,Icterus bullocki,Icterus bullockii,NA,NA,NA,NA,NA,NA,NA
Eremophila alpestris,Otocoris alpestris rubea; Otocoris alpestris arenicola; Otocoris alpestris praticola; Otocoris alpestris giraudi; Otocoris alpestris strigata; Otocoris alpestris chrysolaema; Otocoris alpestris; Otocoris alpestris leucolaema; Eremophila alpestris,1,Taxon concept 3356b5e4-e05c-4e99-8d5e-bbcd7be5e283 containing 'Eremophila alpestris' and 8 other names between 1886 to 2017 in 4 datasets (part of name cluster 6cf94aa6-e689-46ec-aaaa-9ce69a0487c6),added|added|added|added|added|added|added|added -> rename -> deleted|deleted|deleted|deleted|deleted|deleted|deleted -> referenced,added|added|added|added|added|added|added|added -> deleted|deleted|deleted|deleted|deleted|deleted|deleted -> referenced,,aou_1.csv (1886),1886,NA,Horned Lark,474; 1310; 474a; 474b; 474c; 474d; 474e; 474f; 474g,Alaudidae,Alouette hausse-col,Eremophila,Passeriformes,species,Otocoris alpestris rubea; Otocoris alpestris arenicola; Otocoris alpestris praticola; Otocoris alpestris giraudi; Otocoris alpestris strigata; Otocoris alpestris chrysolaema; Otocoris alpestris; Otocoris alpestris leucolaema; Eremophila alpestris,Eremophila alpestris,NA,NA,NA,NA,NA,NA,NA
Aphelocoma californica,Aphelocoma californica,5,Taxon concept e45edffc-d46d-4bb2-8830-c710bd710710 containing 'Aphelocoma californica' found between 1931 to 1944 in 2 datasets (part of name cluster b70ef879-e36c-4851-8886-f82753c310c1); Taxon concept bcfde9ae-aa57-4522-8e14-a2811e014f6c containing 'Aphelocoma californica' found between 1944 to 1995 in 2 datasets (part of name cluster b70ef879-e36c-4851-8886-f82753c310c1); Taxon concept 9c181811-02bd-41e5-a522-fd35b1c558b8 containing 'Aphelocoma californica' found between 2016 to 2017 in 2 datasets (part of name cluster b70ef879-e36c-4851-8886-f82753c310c1); Taxon concept 8053e94f-7781-43f1-a26b-2124f4cde991 containing 'Aphelocoma californica' found between 1995 to 2016 in 2 datasets (part of name cluster b70ef879-e36c-4851-8886-f82753c310c1); Taxon concept a54c1bf7-e709-4868-be3b-12e40147bb93 containing 'Aphelocoma californica' found between 1886 to 1931 in 2 datasets (part of name cluster b70ef879-e36c-4851-8886-f82753c310c1),added -> lump -> lump -> split -> split -> referenced,added -> lump -> lump -> split -> split -> referenced,lump -> lump -> split -> split,aou_1.csv (1886),1886,Formerly considered conspecific with Aphelocoma woodhouseii.,California Scrub-Jay,1288; 481,Corvidae,Geai buissonnier,Aphelocoma,Passeriformes,species,Aphelocoma californica,Aphelocoma californica,NA,NA,NA,NA,NA,NA,NA
